ENSEMBL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	SYMBOL	GENENAME
ENSG00000006016	177.471322288708	-2.69184733464261	0.572924500948439	-4.6984329177517	2.62165268096104e-06	0.00203319248688071	CRLF1	cytokine receptor like factor 1
ENSG00000011028	6502.1084660112	-2.54491704444091	0.554679904952202	-4.58808228262787	4.47336330814859e-06	0.00242142720276951	MRC2	mannose receptor C type 2
ENSG00000012223	258.72092632995	2.69373967893411	0.732597652760107	3.67697011966293	0.000236020674748069	0.0257714127380148	LTF	lactotransferrin
ENSG00000017483	312.005587509915	-2.0479702633171	0.513032414504139	-3.99189253040964	6.5548078967129e-05	0.0113358434229051	SLC38A5	solute carrier family 38 member 5
ENSG00000034239	5.08555797813058	-2.26233684409822	0.628054884105068	-3.60213239535885	0.000315617539614974	0.0313545681237113	EFCAB1	EF-hand calcium binding domain 1
ENSG00000036672	250.74460917785	1.86319965969565	0.514789999272715	3.61933926907659	0.000295356197663076	0.030211370463873	USP2	ubiquitin specific peptidase 2
ENSG00000038427	11934.2141747819	-2.2871810969175	0.591816986833949	-3.86467632359332	0.000111236610139418	0.0162534420786321	VCAN	versican
ENSG00000039068	9322.364518156	3.10509796287247	0.777164671870639	3.99541831385424	6.45801218377188e-05	0.0112906957520442	CDH1	cadherin 1
ENSG00000040731	27.0330410153941	-6.27240321798295	1.27127524029428	-4.93394586724665	8.05847827160328e-07	0.0010499337673678	CDH10	cadherin 10
ENSG00000044524	623.989598016727	-2.53906753429633	0.667299301646865	-3.80499054626616	0.000141809606836407	0.0192856972701585	EPHA3	EPH receptor A3
ENSG00000047936	27.7591797569014	-4.34972879178002	0.966492410796661	-4.50053072656268	6.77840050186412e-06	0.0031572858345504	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase
ENSG00000049089	983.150688630449	-3.52227564061922	0.76146228593769	-4.62567313663049	3.73383748208394e-06	0.00235278434339814	COL9A2	collagen type IX alpha 2 chain
ENSG00000049323	3714.29737283672	-2.06522671124902	0.594579137596654	-3.47342612725509	0.00051385879761431	0.0423585987733704	LTBP1	latent transforming growth factor beta binding protein 1
ENSG00000049540	1163.35344766649	-2.88187350036738	0.56120503824387	-5.13515258057086	2.81915210472555e-07	0.000532925465997056	ELN	elastin
ENSG00000050165	2744.22003121962	-2.7077375436368	0.589134478538749	-4.59612812061669	4.30414100852382e-06	0.00242142720276951	DKK3	dickkopf WNT signaling pathway inhibitor 3
ENSG00000050555	1043.36584644842	-2.57085578109365	0.684423220592717	-3.75623693606898	0.000172487400371587	0.0213957233183381	LAMC3	laminin subunit gamma 3
ENSG00000052850	25.6207735855192	-2.33122372116067	0.560213351429279	-4.1613141050869	3.16421512669923e-05	0.00811011871036122	ALX4	ALX homeobox 4
ENSG00000055957	37.0605849624925	3.93978387472318	1.10798122390568	3.55582187650733	0.0003767993121899	0.0351749135694312	ITIH1	inter-alpha-trypsin inhibitor heavy chain 1
ENSG00000056972	2897.76799261855	1.4108841339777	0.364513810051935	3.87059171716067	0.000108571498754066	0.0160187978112951	TRAF3IP2	TRAF3 interacting protein 2
ENSG00000060982	2018.21357100248	-1.94914322820728	0.511803585816304	-3.80838134437546	0.000139879439368089	0.0191438620955983	BCAT1	branched chain amino acid transaminase 1
ENSG00000061656	248.555999755618	-1.62846457593109	0.436281412851285	-3.73260131640352	0.000189512429518052	0.0224018228140965	SPAG4	sperm associated antigen 4
ENSG00000067191	241.99744540699	-0.553055293754659	0.146251528326628	-3.78153514074399	0.000155864214568723	0.0204080910556086	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1
ENSG00000069122	2353.46618212335	-1.77398489704862	0.462490356632999	-3.8357229974772	0.000125195451463849	0.0177777541078666	ADGRF5	adhesion G protein-coupled receptor F5
ENSG00000069482	239.612399988417	-3.07787465638305	0.875168722662721	-3.51689288782915	0.000436629940449603	0.0381490725650656	GAL	galanin and GMAP prepropeptide
ENSG00000077327	29.545300510043	-3.18016773618602	0.904200812032985	-3.51710338440839	0.000436283817033665	0.0381490725650656	SPAG6	sperm associated antigen 6
ENSG00000077943	259.392445121176	-2.35525764478942	0.579705220566168	-4.06285394926953	4.84763623967407e-05	0.00983300489754354	ITGA8	integrin subunit alpha 8
ENSG00000079102	251.937150433765	-2.21862139477303	0.494760793017221	-4.48423041212121	7.31775570467692e-06	0.00319547594032352	RUNX1T1	RUNX1 partner transcriptional co-repressor 1
ENSG00000084110	140.756629078632	3.93555803837872	0.94216515839957	4.17714240788096	2.95194224038555e-05	0.00787548000122207	HAL	histidine ammonia-lyase
ENSG00000085276	539.227775447089	-1.82523193008212	0.440841749895508	-4.1403336469714	3.46801031779009e-05	0.008428611479876	MECOM	MDS1 and EVI1 complex locus
ENSG00000086967	34.7745426276932	3.18830683384401	0.860592065797014	3.70478297506874	0.000211571799439672	0.0244830862445416	MYBPC2	myosin binding protein C2
ENSG00000087245	12849.4892381735	-1.85531913609198	0.500046983002264	-3.71028963109169	0.000207022265224486	0.0241760441466402	MMP2	matrix metallopeptidase 2
ENSG00000087495	48.1139644331878	-3.43004281844211	0.705871313194912	-4.85930332388359	1.17799538529382e-06	0.00114934349753538	PHACTR3	phosphatase and actin regulator 3
ENSG00000088881	361.835325215956	-2.17934837980261	0.501994280021757	-4.34138090120899	1.41590020779289e-05	0.00481183344774201	EBF4	EBF family member 4
ENSG00000089101	46.3879004908001	-2.32511750982041	0.638753657542862	-3.64008484705137	0.000272548216213671	0.0284258391296506	CFAP61	cilia and flagella associated protein 61
ENSG00000089250	79.4520777486134	-4.85268265855348	1.26347180452243	-3.84075263190198	0.000122657668269	0.0174995463889819	NOS1	nitric oxide synthase 1
ENSG00000091482	19.9290504524859	3.99539116215075	1.05408145614002	3.79040076919824	0.000150404411378186	0.0201289018873655	SMPX	small muscle protein X-linked
ENSG00000091844	371.225413434195	-2.56070610808943	0.654152768718443	-3.9145383625084	9.05773365414259e-05	0.0140492416463178	RGS17	regulator of G protein signaling 17
ENSG00000094755	240.588148719769	3.31827106521478	0.804451933391462	4.12488419441718	3.70921342157487e-05	0.00876475540226199	GABRP	gamma-aminobutyric acid type A receptor subunit pi
ENSG00000099937	21.8360449355868	2.91325150160816	0.805132951536429	3.6183483684885	0.000296489128645504	0.030211370463873	SERPIND1	serpin family D member 1
ENSG00000101282	36.207410791786	-2.57474681120265	0.749837298897989	-3.43374064611973	0.00059531350579612	0.0459332966742588	RSPO4	R-spondin 4
ENSG00000102466	55.7920090697029	-2.49756371895046	0.562695078973985	-4.43857394933061	9.05568715292755e-06	0.00370132856253306	FGF14	fibroblast growth factor 14
ENSG00000102572	3569.78824463218	0.905587601045577	0.251435428320242	3.60167064401191	0.000316178776622758	0.0313545681237113	STK24	serine/threonine kinase 24
ENSG00000103067	59.3676063884618	2.90246143152399	0.712576116785644	4.07319493756917	4.63725792676987e-05	0.00974017383701954	ESRP2	epithelial splicing regulatory protein 2
ENSG00000103710	388.558280692987	-1.46783642419039	0.416518071359222	-3.52406420062497	0.000424981264929438	0.037805833350164	RASL12	RAS like family 12
